13	41	3	23	12	16
12	32	30	49	3	18
34	12	14	24	36	23
30	13	36	44	23	4
31	44	6	49	5	39
29	44	6	37	22	18
27	44	8	16	12	4
26	37	9	44	46	24
47	20	31	26	21	5
10	26	37	8	31	22
26	8	42	39	36	14
34	38	42	39	9	5
38	22	46	4	27	36
37	6	41	22	21	42
29	1	19	9	49	16
23	40	35	12	17	27
18	5	22	6	38	43
26	42	43	12	35	36
14	1	23	27	33	30
26	35	38	20	42	8
30	42	1	48	32	45
41	6	4	47	17	19
6	28	9	26	20	22
26	10	3	49	24	38
42	16	18	3	37	19
25	10	32	7	43	22
32	39	19	25	2	30
46	32	14	31	12	1
19	33	21	10	24	35
18	4	40	36	47	34
45	39	41	49	3	1
43	31	39	32	4	34
22	12	37	31	6	42
36	33	38	43	35	5
36	34	35	11	33	17
23	40	14	46	10	16
25	41	5	46	38	19	24
37	18	43	32	14	16	21
44	13	35	21	25	5	10
47	3	43	20	48	42	19
48	12	19	17	34	23	32
38	48	5	10	18	8	14
27	35	9	17	23	10	39
40	9	23	25	31	46	49
10	31	4	11	26	47	13
5	34	33	14	6	40	21
36	3	16	29	25	11	39
49	48	40	31	26	14	10
42	47	15	28	27	22	33
42	23	17	8	4	18	41
31	9	5	22	21	6	10
9	10	39	36	27	24	19
33	44	29	36	9	6	39
32	10	11	25	12	42	27
41	22	1	2	48	36	20
17	5	49	39	29	47	31
38	7	16	19	39	33	42
29	36	7	34	49	14	15
37	40	39	28	16	14	42
16	36	44	25	6	9	34
15	9	47	10	27	21	14
32	11	13	7	43	6	33
17	20	23	15	31	35	26
49	45	13	47	1	5	29
23	31	17	11	26	38	40
20	4	16	19	17	15	28
6	47	7	33	3	12	2
2	39	6	9	28	49	20
12	6	39	30	43	34	14
31	49	18	9	17	19	30
1	31	42	35	9	15	48
15	16	28	43	23	2	48
36	9	34	4	11	45	8
2	36	45	7	35	18	29
3	14	35	24	44	32	47
18	48	22	45	31	14	20
47	20	30	44	27	26	35
2	40	31	14	48	18	36
39	18	6	28	44	15	5
35	44	11	39	27	45	13
18	43	23	37	20	33	42
31	41	4	2	27	22	38
15	21	31	17	24	40	8
28	16	44	30	20	29	4
24	35	3	45	40	1	42
4	32	37	14	3	29	5
7	47	1	32	8	35	3
21	38	14	44	34	30	25
10	12	19	4	25	8	13
23	31	15	36	37	46	24
26	11	5	22	6	14	46
41	44	40	34	28	30	26
42	1	2	23	44	3	47
9	25	34	20	1	27	48
48	17	42	8	43	6	49
13	39	29	33	36	26	22
3	40	48	8	41	14	43
36	31	24	30	42	38	10
27	47	7	40	2	4	45
27	38	21	12	20	40	4
24	37	19	28	34	12	26
25	10	33	9	35	7	18
21	22	13	26	42	20	41
9	26	25	31	11	6	7
49	1	14	41	29	30	48
35	36	24	2	27	42	41
22	4	18	9	23	2	41
49	26	46	45	3	11	41
24	45	46	16	30	20	4
20	24	49	34	8	22	16
23	25	3	26	1	14	21
46	36	9	27	26	11	43
45	26	3	32	47	43	11
27	11	22	7	39	18	46
33	22	28	23	4	7	9
46	14	34	45	47	36	2
36	15	21	44	10	6	8
19	36	9	37	23	22	13
30	32	12	34	14	3	5
7	4	23	41	6	27	14
34	46	4	48	38	39	31
30	45	40	43	25	37	12
36	37	8	45	15	21	12
19	2	26	3	17	12	36
24	9	11	27	48	21	42
11	20	49	5	10	36	38
18	6	2	8	17	35	11
39	20	27	5	22	43	17
30	38	46	28	22	34	13
44	36	29	49	24	23	40
16	10	29	13	28	47	18
27	25	5	3	22	49	7
1	21	38	30	25	9	6
31	10	48	32	38	15	17
2	7	32	36	25	38	27
49	26	18	34	41	21	8
37	29	3	8	38	6	35
25	33	24	43	30	31	6
34	8	32	46	48	9	15
46	13	33	30	32	24	23
17	24	26	32	30	37	49
9	8	36	27	10	15	19
28	33	6	31	46	39	49
19	18	17	36	21	49	48
4	29	44	3	49	30	24
42	48	41	47	17	35	18
46	48	24	10	14	18	3
14	9	22	36	26	34	37
1	39	20	17	29	10	36
18	28	35	45	42	37	19
45	19	21	14	31	32	47
47	13	21	37	45	44	26
33	35	40	1	5	9	7
20	32	14	13	7	1	15
46	39	27	9	35	22	23
4	38	8	2	30	44	14
33	16	25	19	6	20	2
46	4	6	49	48	45	18
33	30	6	34	21	36	20
47	8	13	7	29	49	21
46	11	18	44	8	12	30
22	21	45	11	47	25	15
22	18	19	49	4	25	27
11	44	46	49	19	18	37
28	13	1	17	27	4	46
11	48	31	9	26	13	1
6	45	15	17	40	9	16
44	41	12	14	49	19	31
41	46	2	13	34	27	23
46	45	44	28	7	18	19
2	43	4	6	41	40	44
28	41	47	44	27	5	48
25	26	33	1	41	6	36
13	25	33	6	11	15	20
11	25	6	33	29	8	23
18	49	29	44	47	5	23
33	18	46	21	37	2	14
11	16	10	1	36	39	3
14	29	37	40	48	21	26
49	26	19	34	5	43	16
49	16	35	10	7	23	8
23	19	35	18	2	39	41
2	42	39	48	33	28	1
16	28	20	4	46	22	30
21	40	1	14	8	15	37
30	31	35	46	7	5	13
44	43	42	14	22	19	49
49	7	27	41	46	1	16
28	19	41	4	1	5	16
8	25	22	49	44	17	39
10	42	44	23	21	11	48
30	19	41	28	32	17	10
42	10	24	28	23	35	44
34	42	3	4	43	21	1
2	36	49	44	18	9	39
35	25	31	23	46	29	18
9	46	2	26	40	13	38
31	30	14	48	34	38	24
24	6	48	45	37	14	22
26	9	35	36	33	11	48
31	16	13	28	15	9	26
2	13	19	42	41	31	4
36	33	14	16	35	11	28
8	3	29	9	18	26	37
15	16	44	1	9	23	43
48	45	26	46	11	31	19
1	9	30	24	22	32	27
15	21	19	16	29	17	1
39	34	6	5	17	31	2
19	11	45	40	2	38	26
39	26	19	18	6	29	42
12	18	33	29	25	37	13
20	31	38	19	36	45	17
29	23	35	3	7	37	28
15	23	43	38	47	4	48
4	34	3	5	14	49	24
2	20	1	37	21	29	4
5	43	14	32	45	20	29
40	20	42	25	27	22	32
